epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2099.45,1.52636,0.86448,0.97557,0.98699,1,0.995,0.63388,1.4155,0.65481,1.03167,0.0007724,0.0007724,0.0007724
64,2126.83,1.47206,0.74829,0.94931,0.9867,1,0.995,0.65315,1.34483,0.57659,0.9877,0.0007526,0.0007526,0.0007526
65,2152.72,1.36709,0.67944,0.98263,0.9867,1,0.995,0.65315,1.34483,0.57659,0.9877,0.0007328,0.0007328,0.0007328
66,2179.21,1.37829,0.72875,0.96126,0.98529,1,0.995,0.70675,1.14327,0.5568,0.92337,0.000713,0.000713,0.000713
67,2207.22,1.42239,0.74587,0.93472,0.98369,1,0.995,0.71142,1.00107,0.57603,0.90473,0.0006932,0.0006932,0.0006932
68,2233.92,1.4512,0.70966,0.99639,0.98359,1,0.995,0.68559,0.99774,0.56633,0.91285,0.0006734,0.0006734,0.0006734
69,2260.15,1.3368,0.67687,0.94852,0.98359,1,0.995,0.68559,0.99774,0.56633,0.91285,0.0006536,0.0006536,0.0006536
70,2286.89,1.28366,0.68009,0.91503,0.98473,1,0.995,0.71656,1.07653,0.59147,0.9484,0.0006338,0.0006338,0.0006338
71,2314.48,1.20847,0.67928,0.94704,0.98433,1,0.995,0.70717,1.04657,0.63729,0.93208,0.000614,0.000614,0.000614
72,2342.21,1.23402,0.66963,0.89752,0.9836,1,0.995,0.7512,0.95679,0.59796,0.90314,0.0005942,0.0005942,0.0005942
73,2369.51,1.24778,0.74393,0.93325,0.9836,1,0.995,0.7512,0.95679,0.59796,0.90314,0.0005744,0.0005744,0.0005744
74,2395.92,1.31942,0.71884,0.91828,0.98468,1,0.995,0.76377,0.92364,0.62613,0.88878,0.0005546,0.0005546,0.0005546
75,2425.34,1.37148,0.68812,0.95771,0.98471,1,0.995,0.79824,0.88606,0.60008,0.88373,0.0005348,0.0005348,0.0005348
76,2457.34,1.29495,0.68968,0.99932,0.97518,1,0.995,0.77214,0.83093,0.58065,0.88691,0.000515,0.000515,0.000515
77,2486.01,1.22254,0.63492,0.9396,0.97518,1,0.995,0.77214,0.83093,0.58065,0.88691,0.0004952,0.0004952,0.0004952
78,2513.22,1.27128,0.71258,0.93795,0.97861,1,0.995,0.75945,0.89928,0.55651,0.88614,0.0004754,0.0004754,0.0004754
79,2539.41,1.19733,0.63273,0.87941,0.98208,1,0.995,0.7804,0.89018,0.53766,0.87957,0.0004556,0.0004556,0.0004556
80,2565.71,1.21088,0.60214,0.95253,0.98418,1,0.995,0.78947,0.82947,0.5238,0.86825,0.0004358,0.0004358,0.0004358
81,2591.63,1.26067,0.60915,0.9545,0.98418,1,0.995,0.78947,0.82947,0.5238,0.86825,0.000416,0.000416,0.000416
82,2618.16,1.13034,0.59932,0.89976,0.98586,1,0.995,0.79738,0.87035,0.52747,0.87191,0.0003962,0.0003962,0.0003962
83,2645.49,1.19613,0.61542,0.91026,0.98652,1,0.995,0.77372,0.93668,0.55219,0.87838,0.0003764,0.0003764,0.0003764
84,2672.1,1.24422,0.64864,0.93399,0.98418,1,0.995,0.7738,0.93797,0.54537,0.88974,0.0003566,0.0003566,0.0003566
85,2699.09,1.14533,0.59101,0.88998,0.98418,1,0.995,0.7738,0.93797,0.54537,0.88974,0.0003368,0.0003368,0.0003368
86,2725.25,1.19869,0.66137,0.93449,0.98252,1,0.995,0.7535,0.93686,0.5106,0.89479,0.000317,0.000317,0.000317
87,2751.16,1.16944,0.6064,0.92162,0.98732,1,0.995,0.80192,0.90866,0.50474,0.8853,0.0002972,0.0002972,0.0002972
88,2777.44,1.26228,0.68106,0.94564,0.98757,1,0.995,0.79425,0.87097,0.46407,0.87544,0.0002774,0.0002774,0.0002774
89,2803.12,1.23145,0.58351,0.9175,0.98757,1,0.995,0.79425,0.87097,0.46407,0.87544,0.0002576,0.0002576,0.0002576
90,2829.75,1.27045,0.60146,0.97893,0.9877,1,0.995,0.77707,0.84896,0.49359,0.8681,0.0002378,0.0002378,0.0002378
91,2857.73,1.08508,0.61867,0.91528,0.98765,1,0.995,0.77525,0.8522,0.49585,0.86696,0.000218,0.000218,0.000218
92,2884.15,1.0833,0.57094,0.96637,0.98754,1,0.995,0.77525,0.85555,0.48565,0.86678,0.0001982,0.0001982,0.0001982
93,2909.79,1.16966,0.5988,0.91356,0.98754,1,0.995,0.77525,0.85555,0.48565,0.86678,0.0001784,0.0001784,0.0001784
94,2936.45,1.03606,0.55682,0.88214,0.98737,1,0.995,0.77177,0.86608,0.49416,0.86664,0.0001586,0.0001586,0.0001586
95,2962.87,1.03424,0.55275,0.91917,0.98719,1,0.995,0.77383,0.84719,0.49185,0.86466,0.0001388,0.0001388,0.0001388
96,2988.99,1.03907,0.52286,0.95845,0.98697,1,0.995,0.814,0.83278,0.49066,0.86499,0.000119,0.000119,0.000119
97,3015.73,1.28859,0.61224,0.97167,0.98697,1,0.995,0.814,0.83278,0.49066,0.86499,9.92e-05,9.92e-05,9.92e-05
98,3042.03,1.09176,0.57051,0.89233,0.98697,1,0.995,0.81686,0.82579,0.48595,0.86578,7.94e-05,7.94e-05,7.94e-05
99,3082.07,1.15776,0.56063,0.93635,0.98699,1,0.995,0.81686,0.8171,0.48452,0.86764,5.96e-05,5.96e-05,5.96e-05
100,3109.41,1.05373,0.60931,0.88585,0.98716,1,0.995,0.81686,0.81175,0.47844,0.86835,3.98e-05,3.98e-05,3.98e-05
